LSOA code,Aged 14 years and under,Aged 15 to 29 years,Aged 30 to 59 years,Aged 60 years and over
E01009280,16.9,21.1,43.4,18.5
E01009282,14.4,25.7,42.4,17.5
E01009288,10.9,26.8,30,32.2
E01009293,16.1,30.4,35.4,18.2
E01009296,18.9,27.9,43.8,9.5
E01008924,15.9,16.7,41.2,26.2
E01009501,25.6,20.8,39.6,14.2
E01009502,24.4,18,39.3,18.2
E01009503,22,19.9,38.3,19.9
E01009505,23.7,18.9,39.1,18.4
E01008917,17.5,17.3,37.2,27.9
E01008923,23.3,18.6,36.3,21.8
E01008925,13.8,15.7,36.4,33.9
E01008927,21.3,16.4,41.2,21.2
E01008928,21.2,17.5,38.8,22.4
E01009019,26.5,20.9,39.6,12.8
E01009020,23.5,20.8,37.7,18
E01009021,27.8,22.4,38.7,11.2
E01009024,28.6,19.7,39.9,11.7
E01009025,25.6,22.8,38.4,13
E01009033,27.3,18.9,42,11.9
E01009175,18,19.9,48.3,13.9
E01009177,20,15.8,47.9,16.5
E01009178,16.1,19.7,47.9,16.2
E01009179,17.4,17.7,39.3,25.7
E01009189,17.9,14.6,40.7,26.8
E01008933,22.5,18.3,40.1,19.1
E01008934,18.6,16.9,39,25.5
E01009031,17.8,21.9,38.7,21.5
E01009037,17.9,15.6,36.3,30
E01009176,19.4,18.2,39.5,23
E01008929,24.1,17.5,38.7,19.7
E01008930,24.3,17,43.5,15.2
E01009495,24.5,17.7,36.5,21.2
E01033629,22.4,22.2,38.1,17.1
E01008953,20.5,17.8,42.1,19.6
E01008963,21,16,44.6,18.2
E01008964,17.8,16.9,41.6,23.6
E01008965,18.6,15.1,45.1,21.2
E01008966,22.8,22,39.4,16
E01009032,21.5,20.7,37.3,20.6
E01009034,19.3,19.6,38.3,22.8
E01009035,23.1,20.4,39.7,16.7
E01009036,18.9,18.8,37.9,24.1
E01009494,25.4,23.6,35.7,15.3
E01009496,16.6,13.9,36.8,33
E01009497,18.3,18.3,42.4,20.8
E01009504,20.5,12.4,37.8,29.1
E01009506,19.3,10.8,38.8,31.3
E01008967,17.5,13.2,39.9,29.5
E01008968,19.5,14.8,39.9,25.8
E01008970,20.8,17.6,39.4,22.3
E01008981,16.4,13.7,38.6,31.4
E01008932,21.3,19,41.7,18
E01008935,24.8,20.2,37.6,17.5
E01008936,20.2,16.7,38.8,24.4
E01008938,27.9,18.8,40.1,13
E01008939,19.9,20,41.3,18.8
E01008951,18,14.8,42.5,24.7
E01008952,13,24.1,51.5,11.3
E01008955,15.4,20.2,46.4,17.9
E01008956,19.8,12.1,42.9,25.2
E01008957,19.5,18.3,46.8,15.2
E01008950,13.6,11.9,36.1,38.4
E01008954,16.8,13.7,35.8,33.6
E01008958,17.4,13.1,37.6,31.7
E01009493,17.6,16.6,39.1,26.7
E01008937,24.7,16.6,36,23
E01008940,24.1,20,36,19.8
E01008941,23.5,22.2,37.9,16.1
E01008944,22.6,18.5,40.3,18.5
E01008959,15.7,15.7,36.4,32.4
E01008960,16.3,16.7,47.8,19.1
E01008961,12,17.1,42.2,28.6
E01008962,26.8,19.9,38,15.4
E01008942,22,20.5,40.3,17.1
E01008943,20,17.1,43.3,19.4
E01008969,18.4,15.5,43.1,22.9
E01008971,17.9,15.4,41.4,25.4
E01008972,20.3,17.7,42.2,19.7
E01008973,18.7,15.4,44.7,21
E01008974,19,19.8,43.4,17.9
E01008975,15.7,16.6,40.2,27.4
E01009172,23.4,19.4,39.6,17.6
E01009173,27,21.5,38.1,13.6
E01009174,20.2,20.8,36.8,22
E01009498,24.4,21.5,39.2,14.8
E01009499,20.8,20.3,39.5,19.3
E01009205,17.8,17.5,38.2,26.5
E01009206,14.5,15.7,38.7,31
E01009211,13.8,16.3,41.3,28.9
E01009218,18.2,14.1,38.4,29.1
E01009219,19.1,19.1,41.2,20.6
E01008976,21.4,19.7,38,21
E01008978,26.2,19.2,35.2,19.3
E01008979,23.2,16.3,36.7,23.9
E01008980,25.4,21.2,35.5,18
E01008945,20.4,18.2,42.2,19.1
E01008946,19,17.7,39.7,23.8
E01008947,20.9,17.1,40,22
E01008948,16.8,17.4,38.8,27
E01008949,15.7,14.2,41.2,28.8
E01008977,19.9,20.4,40.2,19.4
E01009109,30.2,23.6,38.2,8.1
E01009119,17.3,13.3,40.2,29.1
E01009120,21.6,17.1,38.5,22.7
E01009162,19.8,17.9,40,22.2
E01009207,18,15,39.6,27.5
E01009208,17.5,16.6,42.6,23.4
E01009209,16.5,18.7,41.4,23.4
E01009213,16.8,16.8,36.7,29.6
E01009155,16.3,17.4,38.4,27.9
E01009157,21.7,17.6,37.4,23.4
E01009160,27.9,19.5,37.2,15.7
E01009161,20.3,15,36.8,27.8
E01034942,28.2,21.9,44.1,6
E01034943,22,18.9,35.2,23.9
E01009117,28.3,20.7,36.6,14.4
E01009210,19.9,19,39.2,22.1
E01009212,23.1,19.3,40.2,17.4
E01009214,19.1,18.9,42.7,19.2
E01009215,20.8,15.4,38.1,25.9
E01009108,15.5,14,36.9,33.6
E01009111,20.1,17.7,41.4,20.8
E01009112,17.5,16.2,37.4,28.9
E01009116,14.3,13.3,36.4,35.9
E01009118,17.3,17.6,40.6,24.5
E01009107,26.8,20.8,37.5,14.9
E01009110,19.8,17,40.2,23
E01009113,29.6,18.5,34.5,17.4
E01009114,16.8,18.3,39.2,25.6
E01009115,21.1,15.9,39.3,23.5
E01009158,22.8,18.1,43.1,16.1
E01009165,21.1,19,42.6,17.1
E01009169,18.7,20.1,41.2,19.8
E01034944,19.2,16.4,32.9,31.3
E01034945,19.7,19.3,39.4,21.6
E01009159,20.1,17.6,43.6,18.6
E01009164,18.3,16.8,39.8,25.2
E01009167,20.7,19.8,40.4,19.1
E01009171,20,17.4,41,21.4
E01009166,21.6,20.5,40,17.8
E01009168,14.4,17.2,41.5,26.8
E01009170,17,17.4,40.1,25.4
E01009216,21.2,17,36.5,25.5
E01009217,15.8,19.3,39.7,25.2
E01009039,21.7,15.5,39.5,23.4
E01009040,19.7,18.1,42.8,19.4
E01009041,19.1,18.7,41,21.3
E01009042,23.6,15.4,41.4,19.5
E01032589,17.4,17.2,38.7,26.7
E01009262,19.5,18.6,41.7,20.1
E01009267,14.8,19.5,38.3,27.5
E01009276,17.1,19.4,40.5,22.8
E01009278,18,21.9,40.4,19.6
E01009279,19.8,20,41.2,19.1
E01032591,15.5,20.2,39.7,24.5
E01008995,23.6,29.8,35.1,11.4
E01033557,4.1,56.6,36.5,2.7
E01033624,17.2,30.2,45.8,6.8
E01033626,19.2,33.2,39.5,8.4
E01033640,19.8,34.4,39.7,6
E01033567,5.7,54.8,37.6,1.9
E01033615,6.8,51,39.6,2.8
E01033616,10.9,33.9,45.2,10.1
E01034946,10.4,33.9,45.4,10.2
E01034947,19.5,33.5,37.2,9.7
E01009143,27.9,22.6,41,8.6
E01009146,8.3,48.1,34.9,8.7
E01033564,8,42.7,45.2,4.2
E01034948,15.5,43.4,35.4,5.6
E01034949,14.2,39.6,40.3,5.8
E01009141,25.5,21.6,39.1,13.9
E01033565,3,55.8,38.4,2.8
E01033618,4.5,41.5,47.5,6.5
E01033627,18.8,28.6,39.6,13.1
E01034950,4.3,64.5,30.3,0.9
E01034951,7.7,41.6,43.9,6.8
E01033620,3.2,54,37.5,5.3
E01033622,6.8,50.6,38.9,3.9
E01033623,1.7,46.9,47.6,3.9
E01033625,6.7,46.6,42.5,4.2
E01009200,31.1,22.2,38.4,8.4
E01009327,26.2,28.7,35.7,9.4
E01009328,23.4,27.7,34.2,14.5
E01009331,27.6,27.5,35.2,9.8
E01009332,26.6,23.8,37.6,12
E01009333,32.3,25,34.8,8
E01009335,25.3,25.1,37,12.6
E01009344,29,28,34.5,8.5
E01009008,14.2,16.9,40.5,28.4
E01009011,16.4,15,40.3,28
E01009012,17.6,17.5,44.1,20.8
E01009079,24.1,23.3,37.3,15.4
E01009080,33.4,22.1,34.7,9.8
E01009081,25.9,20.4,37.6,16.1
E01009083,28.5,20.3,36.7,14.6
E01009102,24.4,16.8,41.9,16.9
E01009104,26.1,18,41.3,14.7
E01009339,28.3,23.5,35,13.3
E01009382,23.4,26.2,37.5,12.5
E01009392,22.4,25.9,37.6,14.1
E01034952,29.4,22.7,38.6,9.3
E01034953,28.1,23.8,37,11.1
E01009391,31,23.5,38.5,6.8
E01009393,29.3,23.8,37.6,9.4
E01034954,26.6,23.7,39.3,10.3
E01034955,30.6,21.9,37.4,9.9
E01009589,22.3,17.3,43.7,16.6
E01032536,19,19.2,44.2,17.7
E01032537,18.4,17.3,38.6,25.6
E01032538,18.1,20.8,43.3,18
E01009590,17.3,18.6,39.6,24.4
E01009591,20.7,21.7,41.5,16
E01009593,20.5,16.6,40.3,22.5
E01009598,20.8,16.3,39.7,23
E01009604,19.3,18.8,41.8,20
E01009605,23.9,19.7,39,17.3
E01009607,22.7,18.1,43.5,15.4
E01009608,24.1,18.2,38.3,19.4
E01009610,20.9,18.6,43.3,17.4
E01009564,26.4,21.6,42.3,9.7
E01009575,22,24.4,40.1,13.4
E01009606,23.2,19,41.9,15.9
E01009609,22.4,19.3,40.3,17.9
E01009524,13.6,15.7,37.1,33.6
E01009525,15.3,17.2,39.8,27.6
E01009527,19.1,19.3,42.5,19
E01009594,17.4,16.9,38.5,27.1
E01009577,27.9,17.3,43.7,11.1
E01009579,28.8,21,37.9,12.5
E01009581,21.8,21.3,37.8,19.1
E01009584,22.5,20.6,38.8,18.1
E01009585,32.3,18,43,6.7
E01009709,31.9,23.2,32.5,12.1
E01009576,18.7,16.8,39.7,24.7
E01009578,14.7,13.6,37.8,33.9
E01009582,15.8,17.1,42.6,24.6
E01009583,18.6,17.2,40,24.1
E01009586,19.6,18.4,38.9,23.1
E01009565,23.8,24.4,39.9,11.8
E01009566,26.8,26.8,39.5,6.7
E01009567,26.1,21.2,40.5,12.2
E01009568,23.3,23.9,40.5,12.3
E01009523,12.1,13.7,35.1,39.2
E01009526,17.7,13.9,40,28.4
E01009528,19,15,40.1,25.9
E01009531,14.8,14.8,38.7,31.7
E01009587,27.7,18.4,41.9,11.8
E01009624,21.2,19.7,41.9,17.2
E01009625,21.1,19.2,42.6,17.3
E01009626,21.1,20.3,42.1,16.4
E01009622,19.5,20.1,39.3,20.9
E01009623,19.4,17.2,44.8,18.5
E01009627,23.2,15.3,43.2,18.2
E01009628,19.2,18.1,40.7,22
E01009599,15.3,11.5,35.2,38.1
E01009663,15.7,15.4,35.5,33.4
E01009710,16.6,18.7,41.7,23
E01009711,21.5,19.4,39,20.1
E01009522,25.5,13.6,38,23
E01009529,16.7,17.2,41.4,24.4
E01009530,19.9,15.7,42.4,21.8
E01009645,19.2,17.5,44.1,19.3
E01009569,24.6,22.2,41.2,12.1
E01009570,25.2,24.7,39.8,10.5
E01009571,23.1,20.6,40.4,16
E01009573,25.9,21.8,40.1,12.3
E01009574,25.3,25,37.1,12.6
E01034735,28.3,24.2,43,4.4
E01034736,29.9,22.5,39.8,7.7
E01009655,22.9,18.7,45.8,12.5
E01009656,18.7,18.3,44.7,18.2
E01009659,23.2,26.4,39,11.4
E01009662,18.3,15.4,44.3,21.9
E01009664,20.8,18.8,42.2,18.3
E01009643,17.3,17.4,43.3,21.9
E01009644,17.9,16,43,23
E01009647,16.1,18.7,42.3,23.1
E01009648,17.1,17.5,43.8,21.5
E01009652,15.4,17.9,38.8,28.1
E01009653,21.3,14.6,39.9,24
E01009613,19.6,15.6,42,22.6
E01009657,18.2,20.3,40.9,20.8
E01009712,20.6,18.1,41.6,19.5
E01009714,21.4,19.1,41.2,18.4
E01009716,19.6,18.7,42.6,19.2
E01009580,16.6,14.8,38.5,30.3
E01009713,20.4,17.6,42.3,19.8
E01009715,20,16.5,41.2,22.4
E01009717,18.6,14.7,39.1,27.5
E01009718,20.6,16.7,40.8,21.8
E01009630,23.2,22.9,40.4,13.4
E01009631,20.8,22.9,41.4,14.7
E01009632,13,31.2,40.3,15.4
E01009650,7.3,40.5,39.5,12.7
E01034737,21.6,24.8,41.6,12.1
E01034738,16.8,32.9,38.1,12.2
E01009614,17.8,18.6,41.6,22
E01009654,20.9,18.8,41.8,18.6
E01009658,24.8,19.1,38.2,17.8
E01009660,17.9,22.8,42.4,16.9
E01009646,19.8,15.8,44.8,19.3
E01009692,13.2,12.8,32.6,41.2
E01009693,15.9,16.7,40.8,26.4
E01009694,15.7,15.5,39.8,28.9
E01009695,13.3,13.6,33.8,39.5
E01009696,13.8,14.1,36.6,35.5
E01009704,15,14.4,37.6,32.8
E01009705,14.6,12.6,38.3,34.7
E01009636,21.1,35.7,37.4,5.7
E01009637,30.8,22.2,37,9.9
E01009638,21.8,32.5,37.4,8.5
E01009639,23.9,24.6,37.5,14.1
E01009640,30.7,25.5,36.9,7.1
E01009641,8.8,66.2,19.7,5.3
E01009697,18.7,17.3,40.8,23
E01009698,13.6,16.6,38.1,31.9
E01009706,16.4,16.2,37.4,29.9
E01034739,23.9,22.8,47.5,5.8
E01034740,16.3,18.7,41.9,23.1
E01009649,19.1,18.3,42.2,20.4
E01009684,17.5,17,42.3,23.3
E01009685,15.6,16.9,43.5,23.9
E01009686,14.6,22.6,40.4,22.3
E01009687,18,16.1,42.6,23.3
E01009615,14.9,27.7,41.5,16
E01009616,17.1,19.5,43.6,19.9
E01009617,18.8,19.7,38.9,22.5
E01009618,18.3,19.3,43.2,19.5
E01009620,23.3,17.2,44.7,14.8
E01009621,24.3,17.6,38,20.2
E01009633,11.7,55.3,24.8,8
E01009634,10.2,58.6,24.2,7.2
E01009661,16.3,37.1,38.6,7.9
E01034741,4.2,80.3,13.3,2.4
E01034742,7.7,63.1,22.3,6.8
E01009674,21.5,21.9,41.6,15.1
E01009699,16.1,14.6,40.3,29
E01009700,19.3,18.5,43.6,18.4
E01009701,16.2,17.4,41.2,25.3
E01009702,22.3,17.3,40.6,19.8
E01009688,14,34,37.7,14.2
E01009689,9.3,29.9,33.1,27.8
E01009690,10.5,43.7,33,12.8
E01009691,11.3,38.2,38.5,12.1
E01009548,9.7,48,30.4,11.9
E01009553,7.5,50.5,30.7,11.2
E01009651,17.3,29.4,39.5,14
E01034743,1.1,84.2,7.7,6.8
E01034744,2.7,83.6,10.8,2.9
E01009676,19.5,19.9,41.8,18.9
E01009681,16.5,18.6,39.5,25.6
E01009682,16.7,17.4,39.9,26.2
E01009683,21.3,31.5,35.8,11.5
E01009532,17.5,15.4,39.2,28.1
E01009535,15.5,13.4,33.8,37.2
E01009536,15.8,14.9,36.4,32.7
E01009543,18.1,14.1,44.3,23.5
E01009707,18.5,18.4,42.2,21
E01009708,14.2,15.1,39,31.6
E01009554,13.8,24.6,37.9,23.6
E01009555,14.3,18.2,35.5,32
E01009556,13.5,20.5,40.5,25.6
E01009557,13,15.5,32.9,38.5
E01009558,11.7,24,41.2,23.2
E01009559,11.5,15.4,32.5,40.6
E01009537,19,17.3,38.5,25.2
E01009538,19.7,16.9,41.1,22.4
E01009612,26,21.2,39,13.7
E01032527,18.1,18.2,40.9,22.8
E01032528,20.9,13.3,38.3,27.5
E01034745,26.8,23.7,43.9,5.7
E01034746,33,20.1,38.8,8.1
E01009679,13.3,49,24.7,13
E01032532,12.4,19.7,37.4,30.6
E01032533,12.3,29,34.5,24.3
E01034747,21.6,32.2,34.1,11.6
E01034748,24.9,28.7,32.2,14.1
E01009549,16.6,14.6,40.1,28.8
E01009550,16.8,19.7,43.2,20.2
E01009552,18.9,14.2,39.9,27.1
E01032534,18.9,18.1,41,22.1
E01032535,18.7,15.3,45,20.9
E01009544,14.6,15.7,41.4,28.5
E01032529,16.5,17.2,42,24.2
E01032530,16,16,43,24.9
E01034749,18.9,32.8,36.3,12
E01034750,22.8,26.4,46.1,4.6
E01009539,23.9,20.6,43.9,11.7
E01009540,29,20.4,37.9,12.6
E01009541,18.8,17.2,40.7,23.1
E01009542,22.3,18.7,40.9,18.1
E01009560,15.8,15.5,38.1,30.5
E01009561,17.2,13.3,40.3,29.2
E01009562,14.8,13.6,38.5,33.1
E01009563,19,14.7,41.4,24.9
E01009672,15.5,14.1,36,34.4
E01009666,18.1,17.1,39.7,25.1
E01009667,12.1,12.2,31.5,44.2
E01009668,19.9,17.5,42,20.7
E01009670,18.3,16.1,42.6,23.2
E01009665,13.3,23.4,29.4,33.9
E01009669,18,20.5,39.9,21.3
E01009671,4.4,73.2,12,10.2
E01033058,9.2,49.7,21.5,19.6
E01009588,18,19.9,38.4,23.7
E01009592,26.3,19.5,41.9,12.4
E01009596,24.4,20.5,41.1,14
E01009597,20.7,19.7,39.9,19.8
E01032587,23.8,17.9,43.9,14.5
E01009763,25.2,22.2,38.5,14.2
E01009764,13.6,17.2,40,29.3
E01009767,16.3,18.5,39.9,25
E01009769,21.3,17.1,37.6,23.9
E01009770,15.9,17.4,38.6,28.2
E01009773,17.6,17,37.4,27.8
E01009777,15.8,19.7,41.4,23.2
E01009778,17.2,18,42.1,22.7
E01009895,13.3,16.1,39,31.6
E01009896,16.3,14.5,37.6,31.5
E01009897,13.9,13.6,34.5,38
E01009898,11.3,12.8,34.6,41.3
E01009901,10,11.2,34.1,44.8
E01009902,13.1,12.7,31.9,42.2
E01009765,16.6,17.2,39.5,26.7
E01009766,16.7,16.8,39.8,27
E01009768,17.2,16.8,40.5,25.5
E01009771,12.3,12.3,37.8,37.7
E01009775,17.6,18.3,41.6,22.4
E01009776,18.2,16.1,39.3,26.4
E01009758,22.4,17.6,38.4,21.5
E01009760,20,17.7,39.7,22.6
E01009772,19.7,18.1,43,19
E01009774,15.3,15.2,40.9,28.6
E01009788,17,16.6,41,25.1
E01009756,23.7,20.6,40.7,15
E01009757,19.6,20.6,39.9,19.7
E01009759,13,15.5,36.1,35.3
E01009762,30.8,20.2,37.2,11.8
E01034306,33.8,20.3,34.2,11.6
E01034307,27.9,20.2,40.9,10.7
E01009781,20.2,17,39.6,23.3
E01009786,23,19.7,37.9,19.6
E01009789,11.8,16,42.2,29.8
E01009790,19.7,16.8,42.9,20.5
E01009779,13.7,15.2,36.6,34.7
E01009782,20.1,19.3,42.6,18
E01009783,21.6,16.3,40.6,21.6
E01009785,12.5,12.8,39.1,35.7
E01009899,13.4,11.6,35.5,39.5
E01009900,11.5,12.3,34.7,41.6
E01009780,16.8,19.2,49.2,14.8
E01009784,16.9,17.1,44.5,21.7
E01009787,14.8,16.1,41.3,27.8
E01009880,15,18.4,44.9,21.9
E01009882,17.5,15.5,40.3,26.7
E01009891,24.7,20.1,41.1,14.1
E01009892,21.9,22.3,37.8,18
E01009893,29.1,19.8,38.4,12.8
E01009894,20,18.1,40.3,21.4
E01009844,21.7,21.9,41.2,15.2
E01009879,19,19.4,41.5,19.9
E01009885,18,19.5,38.1,24.3
E01034308,24.3,21,36.2,18.5
E01034309,19.3,19.1,46.1,15.5
E01009816,16.6,16.2,35.6,31.6
E01009817,12.5,13.3,34.2,39.9
E01009819,15,14.5,39.6,30.8
E01009820,13.9,14.5,38.5,33.1
E01009748,21.8,19.5,38.5,20.1
E01009839,19.1,21.4,38.4,20.8
E01009883,19.6,21.6,37.9,20.9
E01009884,18.4,19.5,42.4,19.8
E01009886,16,13.9,38.7,31.3
E01009814,13,12.9,36,37.9
E01009815,15.4,14.1,38.8,31.6
E01009818,14.4,18.6,39.9,27.1
E01009821,11.9,10.2,33,44.8
E01009822,12.6,12.9,34.9,39.7
E01009887,21.9,18.8,37.5,21.8
E01009888,20,19.5,40.3,20.2
E01009889,23.4,27.3,38.5,10.8
E01009890,25.3,20,39.4,15.1
E01009749,20.1,17.5,41.9,20.5
E01009750,18.5,16.6,40.2,24.7
E01009823,13.2,13.8,39,33.9
E01009824,18.6,19.9,40.1,21.4
E01009751,18.2,16.9,41.5,23.3
E01009752,25.3,17.3,36.6,20.7
E01009753,24,19,39.3,17.5
E01009754,20.7,19.8,38.6,21
E01009841,21.1,18,38.6,22.4
E01009840,24.5,20.9,39.6,15.2
E01009842,21.2,19.8,36.5,22.5
E01009843,14.1,15.7,40.3,29.8
E01009871,17.2,16.7,42.2,23.9
E01009875,18.5,17.9,37.6,26.1
E01009825,14.9,18.3,39.5,27.5
E01009826,13,10.8,33.7,42.5
E01009827,15.5,15.8,39.3,29.3
E01009828,13,15.3,34,37.5
E01009829,16.1,14.3,36.8,32.8
E01009830,15.8,12.8,35.6,35.6
E01009872,23.5,20.2,41.2,15.1
E01009873,14.6,15.6,38.1,31.6
E01009874,22.4,18.5,38.8,20.2
E01009876,19.7,17.2,36.6,26.6
E01009877,25.2,19,39.4,16.6
E01009911,9.5,14.8,35.9,39.9
E01009912,17.2,15.9,42.1,24.9
E01009913,17.5,16.3,37.1,29
E01009914,12,13.4,33.6,41.1
E01009915,14.1,15.9,41.6,28.5
E01009916,17,16.4,41.7,24.8
E01009741,17.2,22.7,43.5,16.6
E01009744,15.4,25.1,41.4,18.1
E01009746,20.3,22.1,35.1,22.2
E01009747,19.2,21.5,41,18.5
E01009731,16.4,15.5,47.5,20.6
E01009740,24.2,22.1,41.1,12.7
E01009742,22.5,19.7,37.8,19.9
E01009743,23.9,19.3,40.2,16.8
E01009745,15.9,13.8,42.5,27.9
E01009917,13.4,15.6,37.6,33.2
E01009918,19.2,18.3,36.9,25.6
E01009919,12.1,14.5,34.6,38.6
E01009920,15.2,17.4,44,23.4
E01009864,19,17.3,39.1,24.6
E01009865,22.1,19.3,35.4,23.3
E01009866,14.9,17,42.3,25.7
E01009867,17.2,16.6,38.3,28
E01009878,17.8,15.8,43.4,23
E01009791,17.3,17.4,40.5,24.9
E01009792,19.8,18.8,41.2,20.3
E01009795,21.5,19.7,40.7,18.1
E01009796,19.5,18,38.2,24.4
E01009798,19.5,19.7,42.4,18.5
E01009719,17.6,16.9,38.6,26.8
E01009722,12.2,14.9,37.2,35.7
E01009727,15.6,14.3,39.5,30.6
E01009728,14.1,16.1,38.5,31.5
E01009729,17.2,17.5,38.3,27.2
E01009720,13,16.1,39.2,31.7
E01009723,13.9,15.6,39.9,30.7
E01009724,15,13.9,38.2,32.8
E01009730,12.8,17.9,47.5,21.8
E01009903,12.5,11.6,36.1,39.9
E01009904,13.5,12.6,36.7,37.3
E01009909,12.6,15.3,40.2,31.8
E01009910,18.9,15.6,40.6,24.9
E01009793,18.7,17,41.5,22.8
E01009794,17,13.3,37.5,32.4
E01009797,16.5,14,37.8,31.7
E01009801,15.1,14.7,35.6,34.6
E01009721,16.3,16.1,41.6,25.8
E01009725,25,20.1,37.9,17
E01009726,15.7,16.4,38.3,29.6
E01009834,16.2,20.2,38.8,24.9
E01009833,22.9,26.8,37.1,13.3
E01009835,20.3,21.5,40.6,17.4
E01009869,15.6,16.9,39.4,28
E01009870,9.2,14.8,37.4,38.6
E01009809,21.9,19.4,37.3,21.2
E01009813,20,17,37.4,25.5
E01009861,16.8,19.8,41.5,22
E01009862,20.4,16.7,40.9,22
E01009863,20.6,21.6,41.2,16.5
E01009868,16.7,18.4,41.4,23.4
E01009734,18.2,16.8,37.4,27.6
E01009735,15.5,15.9,41.3,27.1
E01009736,15.1,12.8,39.2,32.7
E01009737,13.9,16.8,37.3,31.8
E01009738,22.5,18,38.4,21
E01009856,15.6,21.4,41.3,21.5
E01009905,14.2,15.5,41,29.5
E01009906,15.5,15.7,43.5,25.3
E01009907,15.2,15.6,41.5,27.9
E01009908,17.4,13,42.6,27
E01009800,15,14.4,35.4,35.2
E01009802,19.1,16.2,40,24.8
E01009803,15.9,11.5,35.3,37.1
E01009804,12.4,10.1,35,42.6
E01009831,18.4,16.7,35.8,29
E01009836,23.1,19.4,37.8,19.6
E01009837,15.9,22.4,39.8,21.9
E01009838,19,16.5,39.6,24.9
E01009847,13.9,15.4,37.7,32.9
E01009848,16.5,14.3,38.8,30.5
E01009849,17.8,17.2,39.8,25.3
E01009851,16,10.6,39.9,33.4
E01009732,18.1,18.1,37.1,26.7
E01009733,21.1,20.6,38.6,19.7
E01009739,19,18.3,40.5,22.4
E01009799,12.1,14,38.2,35.8
E01009805,12.4,15.9,38.5,33.4
E01009806,13.2,15.1,39,33.1
E01009854,12.8,13.1,36,38
E01009857,20.9,17.3,40.7,21.2
E01009858,14.9,20.4,34.2,30.6
E01009859,14.3,13,40.1,32.5
E01009845,15,10.4,35,39.4
E01009846,13.7,13.8,37.3,35.2
E01009850,15.1,14,35.6,35.3
E01009852,12.4,10.2,34.1,43.4
E01009832,22.2,19.4,36.9,21.7
E01009853,12.4,11.4,32.8,43.2
E01009855,13.4,11.8,32.6,41.9
E01009860,13.6,11.4,34.1,41
E01009807,17.8,13.3,37.7,31.3
E01009808,13.5,10.4,37.6,38.4
E01009810,16.2,15.1,38.1,30.7
E01009811,16.4,14.2,37.9,31.7
E01009812,15.3,14.8,37.8,32
E01010085,21,15.8,38,25.3
E01010086,23.4,18.6,39,19
E01010087,20.3,18.1,40,21.6
E01010088,19.8,20,41.8,18.4
E01010089,20.5,20.3,40.4,18.7
E01009969,22.3,21.8,41.7,14.1
E01009970,22.8,18.5,40.1,18.5
E01009971,21.9,17.4,42.1,18.8
E01009973,20.4,19.7,42.8,17
E01009960,22.1,16.9,40,21.1
E01009961,16.4,13.6,40.6,29.5
E01009966,23.8,16.2,39.1,20.9
E01009967,20.3,16.8,41.8,21.1
E01010092,19.2,19.5,39.2,22
E01009962,23.5,16.7,36.9,22.9
E01009963,24.8,17.8,38.5,18.9
E01009964,28,16.9,38.3,16.9
E01009965,25.2,21.6,39.1,14
E01010090,23.7,20,37,19.1
E01010091,16.1,18.6,39.1,26.2
E01010096,15.2,17.2,37.1,30.5
E01010097,13.4,14.5,35.6,36.4
E01009968,15,17.1,40,28
E01009972,17.1,15.3,40.6,27
E01009974,14.2,16,39.5,30.2
E01009975,14.5,15.1,41.2,29.3
E01010030,26.1,21.6,34.3,17.9
E01010034,12.7,17.9,45.7,23.8
E01010035,12.5,14.2,34.5,38.8
E01010036,24.1,22.5,41.8,11.2
E01009982,24,19.6,40.6,15.8
E01009983,21.6,17,39.9,21.6
E01010029,30.3,18.7,36,15
E01010037,25.9,20.2,38.6,15
E01009991,20.1,18.9,44,17.1
E01009994,20.8,18.3,41,20
E01009995,21.5,18.5,39.1,21
E01009996,20.5,16.7,41.4,21.4
E01009997,21.2,18.7,43.3,16.8
E01009998,22.8,19.1,40.6,17.6
E01010008,18.3,18.2,40.5,23.2
E01010010,19.8,19.6,38.4,22.2
E01010011,18.5,16.8,40.7,24.1
E01010012,18.2,13.7,41.8,26.4
E01010007,19.4,16.4,40.3,23.9
E01010009,18,20.6,41.1,20.2
E01010013,15.2,17.9,38.3,28.7
E01010014,16.7,16.2,39.9,27.1
E01010093,20.2,17.3,45.3,17.1
E01010094,20.8,18.9,40.6,19.8
E01010095,26,20.3,41.5,12.1
E01010098,17.7,16.8,43.8,21.8
E01010099,20.2,20,39.3,20.6
E01010100,20.6,16.4,41.2,21.8
E01009978,19.2,20.1,39.5,20.9
E01010031,18.8,22.4,38.5,20.2
E01010032,32.5,20.8,35,11.6
E01010033,19.3,19,40.4,21.3
E01033886,25.8,19.1,41.7,13.5
E01033887,22.2,17.6,43.6,16.6
E01010066,20,19.3,36.4,24.2
E01010067,22,22.2,41.8,13.8
E01010068,21.4,17.6,37.2,23.8
E01010070,17.2,16.1,44.1,22.4
E01010075,18.5,21.8,46.8,12.7
E01010076,21,18.1,41.5,19.5
E01009976,19.7,19.6,46.4,14.3
E01009977,21.5,18.7,45.3,14.7
E01009979,18.9,21.1,38,22.1
E01009980,18.6,19.5,43.2,18.7
E01010069,24.4,23.4,39.3,12.9
E01010071,18.9,20.9,44.3,15.8
E01009947,20.2,18.3,42.7,18.7
E01009992,20.3,18.9,41.3,19.5
E01009993,20.1,18.9,40.1,20.9
E01010103,20.9,19.3,43,16.7
