LSOA code,Aged 14 years and under,Aged 15 to 29 years,Aged 30 to 59 years,Aged 60 years and over
E01012145,14.9,17.1,41.3,26.9
E01012147,14.6,14.2,39.2,31.9
E01012149,10.9,14.2,33.4,41.5
E01012132,14,15.1,37.1,33.8
E01012134,10,12.8,34.5,42.8
E01012137,16.1,16.3,35.1,32.5
E01012181,16.7,16.4,42.8,24.1
E01012117,15.1,15.2,37.3,32.5
E01012118,15.9,14.8,35.9,33.5
E01012119,17.7,16.3,40.4,25.8
E01012121,17.4,18.1,39.7,24.8
E01032548,13.3,9.6,31.1,46.1
E01032549,15.7,14.6,36.7,33
E01033472,20,14.3,39.8,26.1
E01012120,9.5,10.9,30.6,49
E01012124,12.8,11.3,34.3,41.5
E01012182,9.2,11.1,30.6,48.9
E01012183,14.6,14,39.7,31.5
E01012148,20,18.9,39,22
E01012150,23.4,17.7,36.6,22.5
E01012151,11.8,11.8,36,40.4
E01012152,15.4,15.2,38.7,30.7
E01032594,13,13.5,32.8,40.5
E01012146,11.4,10.9,33.3,44.5
E01012167,21.5,20.2,40.8,17.5
E01012168,21.1,20.4,40,18.5
E01012170,25,16.1,37.4,21.6
E01012173,11.5,13.1,36.4,39
E01012174,14.7,15.1,36.3,33.9
E01033470,18.7,18.5,38.7,24.1
E01012242,14.9,13.6,36.1,35.3
E01012243,14.8,16.5,39.7,29.2
E01012244,13.8,14.2,40.3,31.9
E01012246,13.2,14,39.8,33.2
E01012296,12,12.6,37.6,37.6
E01012297,15.7,16.8,42.4,25.2
E01012197,20.8,17.3,42.2,19.7
E01012256,9.6,9.5,31.3,49.7
E01012257,15,13.9,37.5,33.6
E01012275,22.1,17.7,39.3,21
E01012276,14.3,14.8,40.2,31
E01012277,22.2,17.7,39.4,20.9
E01012196,17.2,18.5,38.7,25.6
E01012198,20.2,17.9,39.7,22.1
E01012214,23.6,18.6,38.6,19.1
E01012215,22.1,15.9,41.2,20.9
E01012216,23.6,18.6,39,18.8
E01012245,21.6,16.7,38.2,23.4
E01012278,19.6,14.4,41.3,24.7
E01012279,19,16.9,39.4,24.7
E01012280,15.6,12.6,35.4,36.3
E01012281,17,17.6,35.3,30
E01012255,11,8.7,26.9,53.4
E01012269,12.4,11.7,38.9,36.9
E01012294,13.2,14.4,41.1,31.6
E01012295,21.2,17,40.7,21.2
E01033476,18.2,13.6,44.5,23.5
E01033480,19.2,14.4,43,23.5
E01012210,16.7,11.2,35.8,36.3
E01012211,15.9,15.3,43.1,25.7
E01012212,13.3,13,34.7,39
E01012213,8.7,8.9,26,56.4
E01012192,13,13.8,40.9,32.1
E01012193,23,17.4,41.7,18
E01012260,12.5,10.6,37,39.9
E01012261,12.2,16.6,43.4,27.9
E01012247,21.3,16.3,40.8,21.7
E01012249,19.7,16.4,39.9,23.7
E01012271,25.2,19.4,37.9,17.5
E01012272,11.8,11.3,33.9,43
E01012273,23.4,20,38.8,17.7
E01012274,19.8,21.6,39.8,18.8
E01012248,13.5,14.3,38.1,34.2
E01012250,22.2,19.9,36.6,21.3
E01032542,27.9,18.2,42.4,11.5
E01032543,26.3,19.5,35.6,18.5
E01032544,24.2,16.2,42.8,16.8
E01012194,17.8,18.5,43.1,20.6
E01012195,22.2,22.1,39.3,16.2
E01012258,8.7,21.4,52,17.7
E01012259,13.9,15.5,38.7,32.1
E01012268,19.5,24,38.8,17.8
E01012187,16.8,14.1,40.8,28.5
E01012188,14.7,13,37.3,34.9
E01012189,10.5,12.9,32.9,43.6
E01012205,15.1,15.1,36.4,33.2
E01012219,19.6,15.9,40.6,23.9
E01012251,18.4,17.7,43.9,20.1
E01012252,25.9,21.5,37.2,15.4
E01012253,18.1,17.5,38.9,25.4
E01012254,18.5,20.1,45.4,16
E01012204,9.2,10.9,27.4,52.7
E01012206,12.1,11.3,32,44.6
E01012207,17,14.7,37.9,30.6
E01012208,16.7,14,40.4,28.9
E01012190,14.8,14.4,40.2,30.8
E01012191,15.2,13.5,32.9,38.3
