LSOA code,Have central heating,No central heating
E01000248,98.46796657,1.532033426
E01000249,99.35275081,0.647249191
E01000250,97.81468531,2.185314685
E01000251,96.97542533,3.024574669
E01000252,98.86506936,1.134930643
E01000253,99.85835694,0.141643059
E01000254,98.11320755,1.886792453
E01000255,99.52456418,0.475435816
E01000256,99.26144756,0.738552437
E01000257,98.68131868,1.318681319
E01000258,98.97172237,1.028277635
E01000259,98.57142857,1.428571429
E01000260,97.96893668,2.031063321
E01000261,99.11764706,0.882352941
E01000263,98.6,1.4
E01000264,98.04195804,1.958041958
E01000265,98.83268482,1.167315175
E01000266,99.80314961,0.196850394
E01000267,98.44020797,1.559792028
E01000268,96.88841202,3.111587983
E01000269,98.72262774,1.277372263
E01000270,98.58044164,1.41955836
E01000271,99.18433931,0.815660685
E01000272,99.4,0.6
E01000273,97.84366577,2.156334232
E01000274,98.28080229,1.719197708
E01000275,98.19277108,1.807228916
E01000276,99.7983871,0.201612903
E01000277,96.50537634,3.494623656
E01000278,99.00990099,0.99009901
E01000279,99.60629921,0.393700787
E01000280,99.60707269,0.392927308
E01000281,98.21656051,1.78343949
E01000282,99.42196532,0.578034682
E01000283,99.58158996,0.418410042
E01000284,98.6453202,1.354679803
E01000285,99.01960784,0.980392157
E01000286,97.6011994,2.3988006
E01000287,97.7124183,2.287581699
E01000288,98.05309735,1.946902655
E01000289,97.81021898,2.189781022
E01000290,99.25037481,0.749625187
E01000291,98.55769231,1.442307692
E01000292,97.72036474,2.279635258
E01000293,99.43422914,0.565770863
E01000294,99.04371585,0.956284153
E01000295,97.53466872,2.465331279
E01000296,98.04432855,1.955671447
E01000297,98.89502762,1.104972376
E01000298,98.36289222,1.637107776
E01000299,98.78453039,1.215469613
E01000300,98.53372434,1.46627566
E01000301,99.81096408,0.189035917
E01000302,98.80668258,1.193317422
E01000303,99.24953096,0.750469043
E01000304,98.00332779,1.996672213
E01000305,98.00613497,1.993865031
E01000306,97.41100324,2.588996764
E01000307,97.83001808,2.169981917
E01000308,98.95941727,1.040582726
E01000309,98.8700565,1.129943503
E01000310,97.16312057,2.836879433
E01000311,98.65642994,1.343570058
E01000312,96.39889197,3.601108033
E01000313,97.0464135,2.953586498
E01000314,97.05882353,2.941176471
E01000315,99.05362776,0.94637224
E01000316,98.20224719,1.797752809
E01000317,97.97191888,2.028081123
E01000318,98.10126582,1.898734177
E01000319,99,1
E01000320,98.14356436,1.856435644
E01000321,95.90854392,4.091456077
E01000322,98.00747198,1.99252802
E01000323,95.40117417,4.598825832
E01000324,99.22720247,0.772797527
E01000325,99.6592845,0.340715503
E01000326,98.15498155,1.84501845
E01000327,99.35794543,0.642054575
E01000328,98.85807504,1.141924959
E01000329,98.6259542,1.374045802
E01000330,97.79507134,2.204928664
E01000331,98.21428571,1.785714286
E01000332,98.53658537,1.463414634
E01000333,97.5308642,2.469135802
E01000334,99.05956113,0.940438871
E01000335,97.51434034,2.485659656
E01000336,97.08860759,2.911392405
E01000337,98.29721362,1.702786378
E01000338,96.39769452,3.602305476
E01000339,99.16805324,0.831946755
E01000340,98.88178914,1.118210863
E01000341,98.55305466,1.446945338
E01000342,97.63779528,2.362204724
E01000343,98.56630824,1.433691756
E01000344,98.7460815,1.253918495
E01000345,98.97750511,1.022494888
E01000346,97.56493506,2.435064935
E01000347,97.76714514,2.232854864
E01000348,99.42857143,0.571428571
E01000349,100,0
E01000350,98.66156788,1.338432122
E01000351,99.36,0.64
E01000352,98.7987988,1.201201201
E01000353,99.08396947,0.916030534
E01000354,98.84488449,1.155115512
E01000355,99.17218543,0.82781457
E01000356,99.36,0.64
E01000357,98.97330595,1.026694045
E01000358,98.79699248,1.203007519
E01000359,98.3805668,1.619433198
E01000360,96.64082687,3.359173127
E01000361,98.83138564,1.168614357
E01000362,99.22879177,0.771208226
E01000363,98.93617021,1.063829787
E01000364,98.61325116,1.386748844
E01000365,98.44192635,1.558073654
E01000366,99.5447648,0.455235205
E01000367,98.11794228,1.882057716
E01000368,96.6507177,3.349282297
E01000369,97.93650794,2.063492063
E01000370,98.89064976,1.109350238
E01000371,99.04912837,0.950871632
E01000372,97.62711864,2.372881356
E01000373,98.91304348,1.086956522
E01000374,98.09160305,1.908396947
E01000375,98.46938776,1.530612245
E01000376,99.18032787,0.819672131
E01000377,99.5412844,0.458715596
E01000379,98.35820896,1.641791045
E01000380,97.45856354,2.541436464
E01000381,98.17351598,1.826484018
E01000382,99.31740614,0.682593857
E01000383,98.24840764,1.751592357
E01000384,98.41269841,1.587301587
E01000385,97.59493671,2.405063291
E01000386,98.13084112,1.869158879
