LSOA,Female,Male
E01008699,55,45
E01019104,55,45
E01005588,55,45
E01005825,55,45
E01006453,55,45
E01006444,55,45
E01006583,55,45
E01007256,55,45
E01012916,55,45
E01007916,55,45
E01011456,55,45
E01011664,55,45
E01035044,55,45
E01013900,55,45
E01029006,55,45
E01034915,55,45
E01009103,55,45
E01017992,55,45
E01018244,55,45
E01030152,55,45
E01000568,55,45
E01000651,55,45
E01032562,55,45
E01001147,55,45
E01001051,55,45
E01033150,55,45
E01001671,55,45
E01032790,55,45
E01001952,55,45
E01002716,55,45
E01002889,55,45
E01003132,55,45
E01003331,55,45
E01034227,55,45
E01033874,55,45
E01004531,55,45
E01004615,55,45
E01035499,55,45
E01004647,55,45
E01016821,55,45
E01020938,55,45
E01023150,55,45
E01023261,55,45
E01023266,55,45
E01031805,55,45
E01014843,55,45
E01015092,55,45
E01015239,55,45
E01034864,55,45
E01019896,55,45
E01033236,55,45
E01012011,54.9,45.1
E01012300,54.9,45.1
E01020831,54.9,45.1
E01020898,54.9,45.1
E01008634,54.9,45.1
E01018618,54.9,45.1
E01004946,54.9,45.1
E01005369,54.9,45.1
E01005639,54.9,45.1
E01006662,54.9,45.1
E01006557,54.9,45.1
E01006771,54.9,45.1
E01006551,54.9,45.1
E01006738,54.9,45.1
E01007069,54.9,45.1
E01012838,54.9,45.1
E01011557,54.9,45.1
E01013891,54.9,45.1
E01034913,54.9,45.1
E01008929,54.9,45.1
E01026756,54.9,45.1
E01026858,54.9,45.1
E01023514,54.9,45.1
E01000368,54.9,45.1
E01000401,54.9,45.1
E01000643,54.9,45.1
E01000806,54.9,45.1
E01000887,54.9,45.1
E01000869,54.9,45.1
E01000958,54.9,45.1
E01001148,54.9,45.1
E01001193,54.9,45.1
E01034195,54.9,45.1
E01001813,54.9,45.1
E01032788,54.9,45.1
E01002319,54.9,45.1
E01002791,54.9,45.1
E01003899,54.9,45.1
E01004535,54.9,45.1
E01021092,54.9,45.1
E01024692,54.9,45.1
E01014727,54.9,45.1
E01019915,54.9,45.1
E01012021,54.8,45.2
E01020727,54.8,45.2
E01020749,54.8,45.2
E01008441,54.8,45.2
E01008853,54.8,45.2
E01008762,54.8,45.2
E01008281,54.8,45.2
E01012442,54.8,45.2
E01025300,54.8,45.2
E01005228,54.8,45.2
E01006775,54.8,45.2
E01006710,54.8,45.2
E01007075,54.8,45.2
E01007019,54.8,45.2
E01007010,54.8,45.2
E01012898,54.8,45.2
E01012962,54.8,45.2
E01013421,54.8,45.2
E01010646,54.8,45.2
E01010592,54.8,45.2
E01010909,54.8,45.2
E01013585,54.8,45.2
E01013860,54.8,45.2
E01019420,54.8,45.2
E01028903,54.8,45.2
E01032186,54.8,45.2
E01009308,54.8,45.2
E01033629,54.8,45.2
E01009763,54.8,45.2
E01023300,54.8,45.2
E01030077,54.8,45.2
E01023724,54.8,45.2
E01000526,54.8,45.2
E01000724,54.8,45.2
E01001303,54.8,45.2
E01001542,54.8,45.2
E01001472,54.8,45.2
E01033151,54.8,45.2
E01001997,54.8,45.2
E01002071,54.8,45.2
E01033787,54.8,45.2
E01002759,54.8,45.2
E01002760,54.8,45.2
E01002715,54.8,45.2
E01003031,54.8,45.2
E01003316,54.8,45.2
E01003938,54.8,45.2
E01004047,54.8,45.2
E01004016,54.8,45.2
E01004580,54.8,45.2
E01004725,54.8,45.2
E01016919,54.8,45.2
E01017933,54.8,45.2
E01021015,54.8,45.2
E01022577,54.8,45.2
E01023057,54.8,45.2
E01024088,54.8,45.2
E01024303,54.8,45.2
E01024527,54.8,45.2
E01024663,54.8,45.2
E01014781,54.8,45.2
E01015242,54.8,45.2
E01018858,54.8,45.2
E01018803,54.8,45.2
E01018806,54.8,45.2
E01020500,54.8,45.2
E01034382,54.8,45.2
E01012171,54.7,45.3
E01012252,54.7,45.3
E01012327,54.7,45.3
E01005610,54.7,45.3
E01005826,54.7,45.3
E01005945,54.7,45.3
E01006494,54.7,45.3
E01006440,54.7,45.3
E01006966,54.7,45.3
E01007162,54.7,45.3
E01013407,54.7,45.3
E01027563,54.7,45.3
E01007748,54.7,45.3
E01011208,54.7,45.3
E01011897,54.7,45.3
E01013909,54.7,45.3
E01019509,54.7,45.3
E01019728,54.7,45.3
E01025945,54.7,45.3
E01026353,54.7,45.3
E01014334,54.7,45.3
E01009458,54.7,45.3
E01034746,54.7,45.3
E01021271,54.7,45.3
E01021268,54.7,45.3
E01023571,54.7,45.3
E01026498,54.7,45.3
E01000273,54.7,45.3
E01000508,54.7,45.3
E01000532,54.7,45.3
E01000789,54.7,45.3
E01000927,54.7,45.3
E01001059,54.7,45.3
E01001457,54.7,45.3
E01001429,54.7,45.3
E01001770,54.7,45.3
E01001959,54.7,45.3
E01002548,54.7,45.3
