LSOA code,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household,No cars or vans in household
E01027109,32.67716535,39.37007874,17.32283465,10.62992126
E01027111,49.57894737,19.05263158,4.421052632,26.94736842
E01027112,49.20159681,20.55888224,4.491017964,25.74850299
E01027113,44.73161034,20.17892644,7.654075547,27.43538767
E01027114,45.95375723,28.03468208,11.41618497,14.59537572
E01027115,43.73433584,33.83458647,12.78195489,9.649122807
E01027116,39.5,42.25,14.25,4
E01027117,49.51298701,24.02597403,9.090909091,17.37012987
E01027119,36.69354839,37.5,14.24731183,11.55913978
E01027120,39.34740883,38.38771593,17.08253359,5.182341651
E01027121,26.16609784,49.14675768,20.02275313,4.664391354
E01027122,40,33.46534653,16.83168317,9.702970297
E01027123,40.97633136,35.35502959,12.27810651,11.39053254
E01027125,34.45491252,40.37685061,18.43876178,6.729475101
E01027126,45.11210762,30.94170404,9.237668161,14.70852018
E01027127,43.30413016,20.40050063,5.63204005,30.66332916
E01027128,38.50746269,26.26865672,11.49253731,23.73134328
E01027129,31.4889336,40.54325956,21.02615694,6.941649899
E01027130,39.97461929,33.37563452,9.517766497,17.1319797
E01027131,41.07317073,21.85365854,6.048780488,31.02439024
E01027132,46.60397074,15.04702194,3.55276907,34.79623824
E01027133,48.4223301,20.75242718,4.004854369,26.82038835
E01027134,45.27777778,21.66666667,5.138888889,27.91666667
E01027135,45.56291391,29.66887417,8.079470199,16.68874172
E01027136,43.39118825,24.83311081,8.144192256,23.63150868
E01027137,42.04724409,25.19685039,9.133858268,23.62204724
E01027138,37.73584906,37.89308176,14.62264151,9.748427673
E01027139,47.20965309,30.46757164,10.55806938,11.76470588
E01027140,46.32683658,26.68665667,8.095952024,18.89055472
E01027141,31.26614987,45.47803618,17.18346253,6.072351421
E01027142,44.09448819,31.02362205,11.49606299,13.38582677
E01027143,43.20610687,33.58778626,10.99236641,12.21374046
E01027144,40.09287926,36.6873065,13.46749226,9.752321981
E01027145,40.16393443,30.6557377,14.42622951,14.75409836
E01027146,39.33933934,32.58258258,13.66366366,14.41441441
E01027147,43.00847458,25.21186441,4.766949153,27.01271186
E01027148,39.69072165,39.34707904,13.40206186,7.560137457
E01027149,43.28358209,32.33830846,8.623548922,15.75456053
E01027151,45.56650246,16.25615764,2.832512315,35.34482759
E01027152,46.21309371,16.43132221,3.080872914,34.27471117
E01027153,36.76092545,9.511568123,2.227934876,51.49957155
E01027154,44.1943128,16.23222749,2.488151659,37.08530806
E01027155,42.18455744,11.86440678,1.789077213,44.16195857
E01027156,40.83665339,26.09561753,6.374501992,26.69322709
E01027158,49.07407407,21.2962963,7.098765432,22.5308642
E01027159,41.19922631,35.97678917,10.44487427,12.37911025
E01027160,39.30013459,38.89636608,12.38223419,9.421265141
E01027161,37.59286776,20.95096582,7.875185736,33.58098068
E01027162,45.02923977,34.35672515,11.5497076,9.064327485
E01027163,37.19298246,39.29824561,17.36842105,6.140350877
E01027164,42.41935484,39.35483871,13.38709677,4.838709677
E01027165,31.56822811,47.45417515,18.53360489,2.443991853
E01027166,36.52037618,42.00626959,16.45768025,5.015673981
E01027167,33.39041096,42.80821918,12.84246575,10.95890411
E01027168,41.69934641,14.64052288,3.39869281,40.26143791
