LSOA code,Less than 5km,5km to less than 20km,20km to less than 40km,40km and over,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
E01019970,40.32520325,13.17073171,3.577235772,2.764227642,16.91056911,23.25203252
E01019971,36.98781838,7.641196013,3.322259136,2.657807309,12.62458472,36.76633444
E01019972,42.12548015,9.47503201,4.09731114,3.072983355,16.13316261,25.09603073
E01019973,39.24221922,11.23139378,3.247631935,2.97699594,17.86197564,25.43978349
E01019974,36.72839506,13.42592593,3.086419753,1.388888889,17.12962963,28.24074074
E01019975,43.49845201,13.00309598,2.786377709,3.250773994,16.25386997,21.20743034
E01019976,33.98791541,14.50151057,3.927492447,2.870090634,14.65256798,30.06042296
E01019977,42.23776224,16.36363636,3.496503497,1.678321678,16.08391608,20.13986014
E01019980,39.88571429,18.17142857,3.885714286,2.857142857,15.2,20
E01019981,42.61538462,16.92307692,2.923076923,1.230769231,18.15384615,18.15384615
E01019982,32.94858342,17.52360965,2.938090241,3.252885624,15.32004197,28.01678909
E01019983,40.54834055,12.6984127,3.751803752,2.164502165,15.44011544,25.3968254
E01019984,36.55629139,14.83443709,3.841059603,2.38410596,17.35099338,25.03311258
E01019985,45.32258065,11.4516129,1.935483871,1.935483871,15.80645161,23.5483871
E01019986,40.26845638,4.697986577,3.624161074,2.147651007,8.724832215,40.53691275
E01019987,50.13333333,5.733333333,3.466666667,4,8.666666667,28
E01019988,47.56277696,5.317577548,2.806499261,2.511078287,9.896602659,31.90546529
E01019989,42.01438849,7.050359712,2.877697842,4.028776978,6.90647482,37.12230216
E01019990,51.01449275,11.15942029,2.463768116,2.753623188,17.39130435,15.2173913
E01019991,47.23346829,9.041835358,2.159244265,2.024291498,21.45748988,18.08367072
E01019992,42.25352113,7.298335467,3.585147247,3.457106274,14.46862996,28.93725992
E01019993,39.93344426,11.81364393,1.830282862,2.495840266,14.30948419,29.61730449
E01019994,42.32488823,6.110283159,2.533532042,3.129657228,11.92250373,33.97913562
E01019995,45.53191489,6.241134752,2.127659574,4.539007092,13.61702128,27.94326241
E01019996,43.33895447,6.239460371,2.698145025,2.529510961,7.757166948,37.43676223
E01019997,38.35616438,7.00152207,2.739726027,3.348554033,12.02435312,36.52968037
E01019998,39.94038748,8.047690015,2.682563338,2.235469449,12.07153502,35.02235469
E01019999,32.12341198,7.259528131,3.448275862,2.177858439,6.715063521,48.27586207
E01020000,45.70446735,7.04467354,2.405498282,2.06185567,18.38487973,24.39862543
E01020001,34.81012658,9.651898734,2.373417722,2.53164557,12.1835443,38.44936709
E01020002,37.65541741,12.69982238,2.930728242,3.907637655,15.18650089,27.61989343
E01020003,32.21649485,14.04639175,3.092783505,1.288659794,15.72164948,33.63402062
E01020004,33.15589354,13.53612167,4.714828897,2.509505703,11.78707224,34.29657795
E01020005,44.7339848,8.360477742,1.954397394,2.17155266,16.39522258,26.38436482
E01020006,42.96028881,7.490974729,3.700361011,1.895306859,12.90613718,31.04693141
E01020007,40.52631579,5.263157895,2.456140351,6.140350877,10,35.61403509
E01020008,41.76245211,5.874840358,3.448275862,5.236270754,9.067688378,34.61047254
E01020009,36.48293963,4.593175853,3.937007874,2.624671916,8.661417323,43.7007874
E01020010,45.96069869,7.096069869,2.401746725,2.947598253,16.70305677,24.89082969
E01020011,38.11965812,7.008547009,3.418803419,3.58974359,16.75213675,31.11111111
E01020012,44.61738003,11.80285344,3.891050584,1.556420233,18.41763943,19.71465629
E01020013,58.07743658,8.277703605,3.738317757,2.670226969,10.81441923,16.42189586
E01020014,55.06241331,7.21220527,3.46740638,2.773925104,18.03051318,13.45353675
E01020015,46.83544304,9.090909091,3.107019563,2.646720368,21.05868815,17.26121979
E01020017,40.87117702,7.136237257,2.594995366,5.93141798,9.082483781,34.3836886
